image	kana
001.png	フシギダネ
002.png	フシギソウ
003.png	フシギバナ
004.png	ヒトカゲ
005.png	リザード
006.png	リザードン
007.png	ゼニガメ
008.png	カメール
009.png	カメックス
010.png	キャタピー
011.png	トランセル
012.png	バタフリー
013.png	ビードル
014.png	コクーン
015.png	スピアー
016.png	ポッポ
017.png	ピジョン
018.png	ピジョット
019.png	コラッタ
020.png	ラッタ
021.png	オニスズメ
022.png	オニドリル
023.png	アーボ
024.png	アーボック
025.png	ピカチュウ
026.png	ライチュウ
027.png	サンド
028.png	サンドパン
029.png	ニドラン♀
030.png	ニドリーナ
031.png	ニドクイン
032.png	ニドラン♂
033.png	ニドリーノ
034.png	ニドキング
035.png	ピッピ
036.png	ピクシー
037.png	ロコン
038.png	キュウコン
039.png	プリン
040.png	プクリン
041.png	ズバット
042.png	ゴルバット
043.png	ナゾノクサ
044.png	クサイハナ
045.png	ラフレシア
046.png	パラス
047.png	パラセクト
048.png	コンパン
049.png	モルフォン
050.png	ディグダ
051.png	ダグトリオ
052.png	ニャース
053.png	ペルシアン
054.png	コダック
055.png	ゴルダック
056.png	マンキー
057.png	オコリザル
058.png	ガーディ
059.png	ウインディ
060.png	ニョロモ
061.png	ニョロゾ
062.png	ニョロボン
063.png	ケーシィ
064.png	ユンゲラー
065.png	フーディン
066.png	ワンリキー
067.png	ゴーリキー
068.png	カイリキー
069.png	マダツボミ
070.png	ウツドン
071.png	ウツボット
072.png	メノクラゲ
073.png	ドククラゲ
074.png	イシツブテ
075.png	ゴローン
076.png	ゴローニャ
077.png	ポニータ
078.png	ギャロップ
079.png	ヤドン
080.png	ヤドラン
081.png	コイル
082.png	レアコイル
083.png	カモネギ
084.png	ドードー
085.png	ドードリオ
086.png	パウワウ
087.png	ジュゴン
088.png	ベトベター
089.png	ベトベトン
090.png	シェルダー
091.png	パルシェン
092.png	ゴース
093.png	ゴースト
094.png	ゲンガー
095.png	イワーク
096.png	スリープ
097.png	スリーパー
098.png	クラブ
099.png	キングラー
100.png	ビリリダマ
101.png	マルマイン
102.png	タマタマ
103.png	ナッシー
104.png	カラカラ
105.png	ガラガラ
106.png	サワムラー
107.png	エビワラー
108.png	ベロリンガ
109.png	ドガース
110.png	マタドガス
111.png	サイホーン
112.png	サイドン
113.png	ラッキー
114.png	モンジャラ
115.png	ガルーラ
116.png	タッツー
117.png	シードラ
118.png	トサキント
119.png	アズマオウ
120.png	ヒトデマン
121.png	スターミー
122.png	バリヤード
123.png	ストライク
124.png	ルージュラ
125.png	エレブー
126.png	ブーバー
127.png	カイロス
128.png	ケンタロス
129.png	コイキング
130.png	ギャラドス
131.png	ラプラス
132.png	メタモン
133.png	イーブイ
134.png	シャワーズ
135.png	サンダース
136.png	ブースター
137.png	ポリゴン
138.png	オムナイト
139.png	オムスター
140.png	カブト
141.png	カブトプス
142.png	プテラ
143.png	カビゴン
144.png	フリーザー
145.png	サンダー
146.png	ファイヤー
147.png	ミニリュウ
148.png	ハクリュー
149.png	カイリュー
150.png	ミュウツー
151.png	ミュウ
